бу<DET>	бу
илии<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Acc>	илиибин

кыс<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	кыһын

сир<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	сирин

паарта<NOUN><Number=Sing><Case=Cmp>	паарталааҕар

эһэ<NOUN><Number=Sing><Case=Cmp>	эһэтээҕэр

олоппос<NOUN><Number=Plur><Case=Dat>	олоппосторго

дойду<NOUN><Number=Plur><Case=Dat>	дойдуларга

ыҥыыр<NOUN><Number=Sing><Case=Dat>	ыҥыырга

муннук<NOUN><Number=Sing><Case=Dat>	муннукка

олоппос<NOUN><Number=Sing><Case=Dat>	олоппоско

оскуола<NOUN><Number=Sing><Case=Dat>	оскуолаҕа

дьиэ<NOUN><Number=Sing><Case=Dat>	дьиэҕэ

дойду<NOUN><Number=Sing><Case=Dat>	дойдуга

көхө<NOUN><Number=Sing><Case=Dat>	көхөҕө

дьааһык<NOUN><Number=Sing><Case=Dat>	дьааһыкка

остуол<NOUN><Number=Sing><Case=Dat>	остуолга

атах<NOUN><Number=Sing><Case=Dat>	атахха

карточка<NOUN><Number=Sing><Case=Dat>	карточкаҕа

тарбах<NOUN><Number=Sing><Case=Dat>	тарбаҕа

үөрэх<NOUN><Number=Sing><Case=Dat>	үөрэххэ

мастерской<NOUN><Number=Sing><Case=Dat>	мастерскойга

мүнүүтэ<NOUN><Number=Sing><Case=Dat>	мүнүүтэҕэ

үрэх<NOUN><Number=Sing><Case=Dat>	үрэххэ

чэй<NOUN><Number=Sing><Case=Dat>	чэйгэ

куукуна<NOUN><Number=Sing><Case=Dat>	куукунаҕа

ыскаап<NOUN><Number=Sing><Case=Dat>	ыскаапка

эбиэт<NOUN><Number=Sing><Case=Dat>	эбиэккэ

долбуур<NOUN><Number=Sing><Case=Dat>	долбуурга

тэлиэгэ<NOUN><Number=Sing><Case=Dat>	тэлиэгэҕэ

сылабаар<NOUN><Number=Sing><Case=Dat>	сылабаарга

уҥуох<NOUN><Number=Sing><Case=Dat>	уҥуоҕа

куорат<NOUN><Number=Sing><Case=Dat>	куоракка

ынах<NOUN><Number=Sing><Case=Dat>	ынахха

массыына<NOUN><Number=Sing><Case=Dat>	массыынаҕа

паарта<NOUN><Number=Sing><Case=Dat>	паартаҕа

хос<NOUN><Number=Sing><Case=Dat>	хоско

биэдэрэ<NOUN><Number=Sing><Case=Dat>	биэдэрэҕэ

уол<NOUN><Number=Sing><Case=Dat>	уолга

оҕо<NOUN><Number=Sing><Case=Dat>	оҕоҕо

илии<NOUN><Number=Sing><Case=Dat>	илиигэ

хотон<NOUN><Number=Sing><Case=Dat>	хотоҥҥо

уу<NOUN><Number=Sing><Case=Dat>	ууга

огурсу<NOUN><Number=Sing><Case=Dat>	огурсуга

сыл<NOUN><Number=Sing><Case=Dat>	сылга

оройуон<NOUN><Number=Sing><Case=Dat>	оройуоҥҥа

хайа<NOUN><Number=Sing><Case=Dat>	хайаҕа

чаас<NOUN><Number=Sing><Case=Dat>	чааска

ойуур<NOUN><Number=Sing><Case=Dat>	ойуурга

хонуу<NOUN><Number=Sing><Case=Dat>	хонууга

сир<NOUN><Number=Sing><Case=Dat>	сиргэ

кылаас<NOUN><Number=Sing><Case=Dat>	кылааска

иһит<NOUN><Number=Sing><Case=Dat>	иһиккэ

быраас<NOUN><Number=Sing><Case=Dat>	бырааска

оҕонньор<NOUN><Number=Sing><Case=Dat>	оҕонньорго

аҕал<NOUN><Number=Sing><Nomzr=Action><Case=Dat>	аҕалыахха

аҕа<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Dat>	аҕатыгар

хотуур<NOUN><Number=Sing><Case=Ins>	хотуурунан

хайыһар<NOUN><Number=Sing><Case=Ins>	хайыһарынан

ат<NOUN><Number=Sing><Case=Ins>	атынан

сап<NOUN><Number=Sing><Case=Ins>	сабынан

хаан<NOUN><Number=Sing><Case=Ins>	хаанынан

уочарат<NOUN><Number=Sing><Case=Ins>	уочаратынан

түү<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Ins>	түүтүнэн

сыттык<NOUN><Number=Plur><Case=Nom>	сыттыктар

уол<NOUN><Number=Plur><Case=Nom>	уолаттар

оҕо<NOUN><Number=Plur><Case=Nom>	оҕолор

дьон<NOUN><Number=Plur><Case=Nom>	дьоннор

матараас<NOUN><Number=Plur><Case=Nom>	матараастар

остуол<NOUN><Number=Plur><Case=Nom>	остуоллар

нуучча<NOUN><Number=Plur><Case=Nom>	нууччалар

дьахтар<NOUN><Number=Plur><Case=Nom>	дьахталлар

тэллэх<NOUN><Number=Plur><Case=Nom>	тэллэхтэр

доҕор<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Nom>	доҕотторо

күөгүрээпийэ<NOUN><Number=Sing><Case=Nom>	күөгүрээпийэ

моҕой<NOUN><Number=Sing><Case=Nom>	моҕой

уһук<NOUN><Number=Sing><Case=Nom>	уһук

илии<NOUN><Number=Sing><Case=Nom>	илии

сэлээппэ<NOUN><Number=Sing><Case=Nom>	сэлээппэ

олоҥхо<NOUN><Number=Sing><Case=Nom>	олоҥхо

дуоска<NOUN><Number=Sing><Case=Nom>	дуоска

тиит<NOUN><Number=Sing><Case=Nom>	тиит

ыскаап<NOUN><Number=Sing><Case=Nom>	ыскаап

куоска<NOUN><Number=Sing><Case=Nom>	куоска

уус<NOUN><Number=Sing><Case=Nom>	уус

күнүс<NOUN><Number=Sing><Case=Nom>	күнүс

оҥочо<NOUN><Number=Sing><Case=Nom>	оҥочо

күөл<NOUN><Number=Sing><Case=Nom>	күөл

сүөһү<NOUN><Number=Sing><Case=Nom>	сүөһү

атах<NOUN><Number=Sing><Case=Nom>	атах

сылабаар<NOUN><Number=Sing><Case=Nom>	сылабаар

чаһы<NOUN><Number=Sing><Case=Nom>	чаһы

ыскамыайка<NOUN><Number=Sing><Case=Nom>	ыскамыайка

кымыс<NOUN><Number=Sing><Case=Nom>	кымыс

ас<NOUN><Number=Sing><Case=Nom>	ас

хаһыат<NOUN><Number=Sing><Case=Nom>	хаһыат

собо<NOUN><Number=Sing><Case=Nom>	собо

бурдук<NOUN><Number=Sing><Case=Nom>	бурдук

саахар<NOUN><Number=Sing><Case=Nom>	саахар

туруйа<NOUN><Number=Sing><Case=Nom>	туруйа

таһаҕас<NOUN><Number=Sing><Case=Nom>	таһаҕас

таба<NOUN><Number=Sing><Case=Nom>	таба

от<NOUN><Number=Sing><Case=Nom>	от

кыыл<NOUN><Number=Sing><Case=Nom>	кыыл

хойчоонно<NOUN><Number=Sing><Case=Nom>	хойчоонно

ат<NOUN><Number=Sing><Case=Nom>	ат

профессор<NOUN><Number=Sing><Case=Nom>	профессор

саас<NOUN><Number=Sing><Case=Nom>	саас

уруок<NOUN><Number=Sing><Case=Nom>	уруок

быа<NOUN><Number=Sing><Case=Nom>	быа

тоһоҕо<NOUN><Number=Sing><Case=Nom>	тоһоҕо

халлаан<NOUN><Number=Sing><Case=Nom>	халлаан

боробулуоха<NOUN><Number=Sing><Case=Nom>	боробулуоха

оҕо<NOUN><Number=Sing><Case=Nom>	оҕо

тэллэй<NOUN><Number=Sing><Case=Nom>	тэллэй

уу<NOUN><Number=Sing><Case=Nom>	уу

хоту<NOUN><Number=Sing><Case=Nom>	хоту

хаар<NOUN><Number=Sing><Case=Nom>	хаар

тиис<NOUN><Number=Sing><Case=Nom>	тиис

тыл<NOUN><Number=Sing><Case=Nom>	тыл

хос<NOUN><Number=Sing><Case=Nom>	хос

тыс<NOUN><Number=Sing><Case=Nom>	тыс

балык<NOUN><Number=Sing><Case=Nom>	балык

дьахтар<NOUN><Number=Sing><Case=Nom>	дьахтар

яблоко<NOUN><Number=Sing><Case=Nom>	яблоко

бэс<NOUN><Number=Sing><Case=Nom>	бэс

чох<NOUN><Number=Sing><Case=Nom>	чох

уол<NOUN><Number=Sing><Case=Nom>	уол

хахай<NOUN><Number=Sing><Case=Nom>	хахай

булчут<NOUN><Number=Sing><Case=Nom>	булчут

оскуола<NOUN><Number=Sing><Case=Nom>	оскуола

нуучча<NOUN><Number=Sing><Case=Nom>	нуучча

харах<NOUN><Number=Sing><Case=Nom>	харах

мас<NOUN><Number=Sing><Case=Nom>	мас

мүнүүтэ<NOUN><Number=Sing><Case=Nom>	мүнүүтэ

дьиэ<NOUN><Number=Sing><Case=Nom>	дьиэ

түүн<NOUN><Number=Sing><Case=Nom>	түүн

ыт<NOUN><Number=Sing><Case=Nom>	ыт

сибиинньэ<NOUN><Number=Sing><Case=Nom>	сибиинньэ

дьон<NOUN><Number=Sing><Case=Nom>	дьон

лааппы<NOUN><Number=Sing><Case=Nom>	лааппы

паарта<NOUN><Number=Sing><Case=Nom>	паарта

сис<NOUN><Number=Sing><Case=Nom>	сис

чаанньык<NOUN><Number=Sing><Case=Nom>	чаанньык

сыалыһар<NOUN><Number=Sing><Case=Nom>	сыалыһар

ый<NOUN><Number=Sing><Case=Nom>	ый

тарбах<NOUN><Number=Sing><Case=Nom>	тарбах

харандаас<NOUN><Number=Sing><Case=Nom>	харандаас

кинигэ<NOUN><Number=Sing><Case=Nom>	кинигэ

кыыс<NOUN><Number=Sing><Case=Nom>	кыыс

түннүк<NOUN><Number=Sing><Case=Nom>	түннүк

айах<NOUN><Number=Sing><Case=Nom>	айах

куурусса<NOUN><Number=Sing><Case=Nom>	куурусса

остуол<NOUN><Number=Sing><Case=Nom>	остуол

киһи<NOUN><Number=Sing><Case=Nom>	киһи

сыыр<NOUN><Number=Sing><Case=Nom>	сыыр

арыы<NOUN><Number=Sing><Case=Nom>	арыы

сөкүүндэ<NOUN><Number=Sing><Case=Nom>	сөкүүндэ

эр<NOUN><Number=Sing><Case=Nom>	эр

дьааһык<NOUN><Number=Sing><Case=Nom>	дьааһык

күн<NOUN><Number=Sing><Case=Nom>	күн

рецепт<NOUN><Number=Sing><Case=Nom>	рецепт

быраас<NOUN><Number=Sing><Case=Nom>	быраас

олоппос<NOUN><Number=Sing><Case=Nom>	олоппос

солуома<NOUN><Number=Sing><Case=Nom>	солуома

оттук<NOUN><Number=Sing><Case=Nom>	оттук

саа<NOUN><Number=Sing><Case=Nom>	саа

сир<NOUN><Number=Sing><Case=Nom>	сир

кулахы<NOUN><Number=Sing><Case=Nom>	кулахы

былахы<NOUN><Number=Sing><Case=Nom>	былахы

быт<NOUN><Number=Sing><Case=Nom>	быт

тэтэрээт<NOUN><Number=Sing><Case=Nom>	тэтэрээт

мохсоҕол<NOUN><Number=Sing><Case=Nom>	мохсоҕол

кыырт<NOUN><Number=Sing><Case=Nom>	кыырт

аан<NOUN><Number=Sing><Case=Nom>	аан

оһох<NOUN><Number=Sing><Case=Nom>	оһох

оҕуруот<NOUN><Number=Sing><Case=Nom>	оҕуруот

кии<NOUN><Number=Sing><Case=Nom>	кии

бэргэһэ<NOUN><Number=Sing><Case=Nom>	бэргэһэ

хотой<NOUN><Number=Sing><Case=Nom>	хотой

кус<NOUN><Number=Sing><Case=Nom>	кус

сыттык<NOUN><Number=Sing><Case=Nom>	сыттык

тараах<NOUN><Number=Sing><Case=Nom>	тараах

хомпуот<NOUN><Number=Sing><Case=Nom>	хомпуот

ынах<NOUN><Number=Sing><Case=Nom>	ынах

үрэх<NOUN><Number=Sing><Case=Nom>	үрэх

кэргэн<NOUN><Number=Sing><Case=Nom>	кэргэн

бостуук<NOUN><Number=Sing><Case=Nom>	бостуук

эт<NOUN><Number=Sing><Case=Nom>	эт

суол<NOUN><Number=Sing><Case=Nom>	суол

оҕонньор<NOUN><Number=Sing><Case=Nom>	оҕонньор

килиэп<NOUN><Number=Sing><Case=Nom>	килиэп

тэрил<NOUN><Number=Sing><Int=Yes><Case=Nom>	тэрилий

иһит<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=1><Case=Nom>	иһиппит

муҥха<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=2><Case=Nom>	муҥхаҕыт

эдьиий<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	эдьиийим

дьон<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	дьонум

балыс<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	балтым

буруй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	буруйум

кулгаах<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	кулгааҕым

аҕас<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	аҕаһым

эбэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	эбэм

ийэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	ийэм

доҕор<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	доҕорум

бас<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	баһым

эһэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	эһэм

быраат<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	быраатым

атас<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	атаһым

аат<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	аатым

илии<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	илиим

аҕа<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	аҕам

убай<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	убайым

убай<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	убайыҥ

аҕа<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	аҕаҥ

ийэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	ийэҥ

бас<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	баһыҥ

илии<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	илииҥ

дьон<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	дьонуҥ

тиис<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тииһиҥ

эһэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	эһэҥ

эбэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	эбэтэ

дьааһык<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	дьааһыга

убай<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	убайа

көтөр<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	көтөрө

уус<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	ууһа

аҕа<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	аҕата

быар<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	быара

доҕор<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	доҕоро

аат<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	аата

хамсааһын<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	хамсааһына

искэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	искэҕэ

кинигэ<NOUN><Number=Sing><Case=Par>	кинигэтэ

мин<NOUN><Number=Sing><Case=Par>	миннэ

эт<NOUN><Number=Sing><Case=Par>	эттэ

айымньы<NOUN><Number=Sing><Case=Par>	айымньыта

остуол<NOUN><Number=Sing><Case=Par>	остуолла

илии<NOUN><Number=Sing><Case=Par>	илиитэ

быа<NOUN><Number=Sing><Case=Par>	быата

паарта<NOUN><Number=Sing><Case=Par>	паартата

харандаас<NOUN><Number=Sing><Case=Par>	харандааста

саламаат<NOUN><Number=Sing><Case=Par>	саламаатта

буулка<NOUN><Number=Sing><Case=Par>	буулката

тимэх<NOUN><Number=Sing><Case=Par>	тимэхтэ

күөрчэх<NOUN><Number=Sing><Case=Par>	күөрчэхтэ

мутукча<NOUN><Number=Sing><Case=Par>	мутукчата

үүнүү<NOUN><Number=Sing><Case=Par>	үүнүүтэ

чэй<NOUN><Number=Sing><Case=Par>	чэйдэ

чиэрбэ<NOUN><Number=Sing><Case=Par>	чиэрбэтэ

килиэп<NOUN><Number=Sing><Case=Par>	килиэптэ

оҕо<NOUN><Number=Sing><Case=Par>	оҕото

дьиэ<NOUN><Number=Sing><Case=Par>	дьиэтэ

уу<NOUN><Number=Sing><Case=Par>	уута

сүөгэй<NOUN><Number=Sing><Case=Par>	сүөгэйдэ

икки<NUM><Case=Acc><NumType=Card>	иккини

икки<NUM><Case=Par><NumType=Card>	иккитэ

биэс<NUM><NumType=Card>	биэс

биир<NUM><NumType=Card>	биир

уон<NUM><NumType=Card>	уон

алта<NUM><NumType=Card>	алта

икки<NUM><NumType=Card>	икки

үс<NUM><NumType=Card>	үс

онус<NUM><NumType=Card>	онус

түөрт<NUM><NumType=Card>	түөрт

кини<PRON><Case=Acc><Number=Plur><Person=3><PronType=Prs>	кинилэри

мин<PRON><Case=Acc><Number=Sing><Person=1><PronType=Prs>	миигин

кини<PRON><Case=Acc><Number=Sing><Person=3><PronType=Prs>	кинини

биһиги<PRON><Case=Dat><Number=Plur><Person=1><PronType=Prs>	биһиэхэ

эһиги<PRON><Case=Dat><Number=Plur><Person=2><PronType=Prs>	эһиэхэ

мин<PRON><Case=Dat><Number=Sing><Person=1><PronType=Prs>	миэхэ

эн<PRON><Case=Dat><Number=Sing><Person=2><PronType=Prs>	эйиэхэ

кини<PRON><Case=Dat><Number=Sing><Person=3><PronType=Prs>	киниэхэ

ол<PRON><Case=Dat><PronType=Int>	онуоха

туох<PRON><Case=Dat><PronType=Int>	туохха

биһиги<PRON><Case=Nom><Number=Plur><Person=1><PronType=Prs>	биһиги

эһиги<PRON><Case=Nom><Number=Plur><Person=2><PronType=Prs>	эһиги

кини<PRON><Case=Nom><Number=Plur><Person=3><PronType=Prs>	кинилэр

бары<PRON><Case=Nom><Number=Plur><Person=3><PronType=Tot>	барытын

мин<PRON><Case=Nom><Number=Sing><Person=1><PronType=Prs>	мин

эн<PRON><Case=Nom><Number=Sing><Person=2><PronType=Prs>	эн

кини<PRON><Case=Nom><Number=Sing><Person=3><PronType=Prs>	кини

бары<PRON><Case=Nom><Number=Sing><Person=3><PronType=Tot>	бары

ким<PRON><Int=Yes><PronType=Int>	кимий

хайдах<PRON><Int=Yes><PronType=Int>	хайдаҕый

ити<PRON><PronType=Dem>	ити

ол<PRON><PronType=Dem>	ол

сорох<PRON><PronType=Ind>	сорох

сорох<PRON><PronType=Ind><Number=Plur>	сорохтор

ким<PRON><PronType=Int>	ким

ханнык<PRON><PronType=Int>	ханнык

хас<PRON><PronType=Int>	хас

ханна<PRON><PronType=Int>	ханна

тоҕо<PRON><PronType=Int>	тоҕо

тугу<PRON><PronType=Int>	тугу

туох<PRON><PronType=Int>	туох

саша<PROPN>	саша

мичил<PROPN>	мичил

сайаана<PROPN>	сайаана

сардана<PROPN>	сардана

коперник<PROPN>	коперник

маша<PROPN>	маша

кэскил<PROPN>	кэскил

айаана<PROPN>	айаана

миша<PROPN>	миша

сергей<PROPN><Case=Com>	сергейдиин

москва<PROPN><Case=Dat>	москваҕа

петров<PROPN><Case=Dat>	петровка

дьокуускай<PROPN><Case=Dat>	дьокуускайга

айхал<PROPN><Case=Dat>	айхалга

кэскил<PROPN><Case=Dat>	кэскилга

айтал<PROPN><Case=Dat>	айталга

