куһаҕан<ADJ>	куһаҕан

буолуой<PART>	буолуой

эрэ<PART>	эрэ

дуу<PART>	дуу

бар<VERB><Clusivity=In><Mood=Imp><Number=Sing><Person=1><Tense=Pres>	барыах

бар<VERB><Int=Yes><Number=Plur><Person=3><Tense=Pres>	баралларый

гын<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	гынарый

эмтээ<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	эмтиирий

үөрэн<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	үөрэнэрий

бар<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	барарый

тиэй<VERB><Int=Yes><Number=Sing><Person=3><Tense=Pres>	тиэйэрий

сап<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	сабымаҥ

киллэр<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	киллэримэҥ

ас<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	аһымаҥ

ыҥыырдаа<VERB><Mood=Imp><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	ыҥыырдаамаҥ

тур<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	туруҥ

ас<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	аһыҥ

олор<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	олоруҥ

кэл<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	кэлиҥ

сот<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сотуҥ

аһаа<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	аһааҥ

сууй<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сууйуҥ

сиэ<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	сиэҥ

ис<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	иһиҥ

эбиэттээ<VERB><Mood=Imp><Number=Plur><Person=2><Tense=Pres>	эбиэттэҥ

аһаа<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	аһаама

быс<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	быһыма

сиэ<VERB><Mood=Imp><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	сиэмэ

аҕал<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аҕал

кэт<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэт

уруһуйдаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	уруһуйдаа

бул<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	бул

тур<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	тур

ис<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ис

кэпсээ<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэпсээ

сиэ<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	сиэ

атыылас<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	атыылас

бар<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	бар

суруй<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	суруй

көр<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	көр

уур<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	уур

кэл<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кэл

олор<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	олор

быс<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	быс

ыл<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ыл

кут<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	кут

аах<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аах

биэр<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	биэр

ыйаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	ыйаа

аһаа<VERB><Mood=Imp><Number=Sing><Person=2><Tense=Pres>	аһаа

сиэ<VERB><Mood=Imp><Number=Sing><Person=3><Tense=Pres>	сиэтин

ыллаа<VERB><Mood=Imp><Number=Sing><Person=3><Tense=Pres>	ыллаатин

аах<VERB><Number=Plur><Person=1><Polarity=Neg><Tense=Pres>	аахпаппыт

тоҥ<VERB><Number=Plur><Person=1><Polarity=Neg><Tense=Pres>	тоҥмоппут

балыктаа<VERB><Number=Plur><Person=1><Tense=Fut>	балыктыахпыт

бар<VERB><Number=Plur><Person=1><Tense=NearPast>	бардыбыт

ыл<VERB><Number=Plur><Person=1><Tense=Pres>	ылабыт

үөрэн<VERB><Number=Plur><Person=1><Tense=Pres>	үөрэнэбит

ыйаа<VERB><Number=Plur><Person=1><Tense=Pres>	ыйыыбыт

оҥор<VERB><Number=Plur><Person=1><Tense=Pres>	оҥоробут

утуй<VERB><Number=Plur><Person=1><Tense=Pres>	утуйабыт

быс<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=NearPast>	быспатыгыт

кэл<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	кэлбэккит

көлүй<VERB><Number=Plur><Person=2><Polarity=Neg><Tense=Pres>	көлүйбэккит

бил<VERB><Number=Plur><Person=2><Tense=Pres>	билэҕит

тиэй<VERB><Number=Plur><Person=2><Tense=Pres>	тиэйэҕит

биэр<VERB><Number=Plur><Person=2><Tense=Pres>	биэрэҕит

бар<VERB><Number=Plur><Person=2><Tense=Pres>	бараҕыт

үөрэн<VERB><Number=Plur><Person=2><Tense=Pres>	үөрэнэҕит

тик<VERB><Number=Plur><Person=3><Polarity=Neg><Tense=Pres>	тикпэттэр

киир<VERB><Number=Plur><Person=3><Polarity=Neg><Tense=Pres>	киирбэттэр

оҕус<VERB><Number=Plur><Person=3><Tense=Fut>	охсуохтара

тиэй<VERB><Number=Plur><Person=3><Tense=Fut>	тиэйиэхтэрэ

көлүй<VERB><Number=Plur><Person=3><Tense=Fut>	көлүйүөхтэрэ

кэр<VERB><Number=Plur><Person=3><Tense=Fut>	кэрдиэхтэрэ

кэл<VERB><Number=Plur><Person=3><Tense=NearPast>	кэллилэр

бар<VERB><Number=Plur><Person=3><Tense=NearPast>	бардылар

аһаа<VERB><Number=Plur><Person=3><Tense=NearPast>	аһаатылар

бултаа<VERB><Number=Plur><Person=3><Tense=NearPast>	бултаатылар

утар<VERB><Number=Plur><Person=3><Tense=PastPerf>	утарбыттара

аһаа<VERB><Number=Plur><Person=3><Tense=Pres>	аһыыллар

олор<VERB><Number=Plur><Person=3><Tense=Pres>	олороллор

сиэ<VERB><Number=Plur><Person=3><Tense=Pres>	сииллэр

утуй<VERB><Number=Plur><Person=3><Tense=Pres>	утуйаллар

суруй<VERB><Number=Plur><Person=3><Tense=Pres>	суруйаллар

үөрэн<VERB><Number=Plur><Person=3><Tense=Pres>	үөрэнэллэр

биэр<VERB><Number=Plur><Person=3><Tense=Pres>	биэрэллэр

туруор<VERB><Number=Plur><Person=3><Tense=Pres>	туруораллар

ыл<VERB><Number=Plur><Person=3><Tense=Pres>	ылаллар

бултаа<VERB><Number=Plur><Person=3><Tense=Pres>	бултууллар

хайыһардаа<VERB><Number=Plur><Person=3><Tense=Pres>	хайыһардыыллар

аах<VERB><Number=Plur><Person=3><Tense=Pres>	ааҕаллар

тур<VERB><Number=Plur><Person=3><Tense=Pres>	тураллар

баар<VERB><Number=Plur><Person=3><Tense=Pres>	бааллар

атыылас<VERB><Number=Plur><Person=3><Tense=Pres>	атыылаһаллар

таптаа<VERB><Number=Plur><Person=3><Tense=Pres>	таптыыллар

атыылаа<VERB><Number=Plur><Person=3><Tense=Pres>	атыылыыллар

гын<VERB><Number=Plur><Person=3><Tense=Pres>	гыналлар

үлэлээ<VERB><Number=Plur><Person=3><Tense=Pres>	үлэлииллэр

ыйаа<VERB><Number=Plur><Person=3><Tense=Pres>	ыйыыллар

уур<VERB><Number=Plur><Person=3><Tense=Pres>	уураллар

иһит<VERB><Number=Plur><Person=3><Tense=Pres>	истэллэр

балыктаа<VERB><Number=Plur><Person=3><Tense=Pres>	балыктыыллар

үлэлээ<VERB><Number=Sing><Person=1><Tense=Fut>	үлэлиэҕим

ыл<VERB><Number=Sing><Person=1><Tense=Fut>	ылыаҕым

кэл<VERB><Number=Sing><Person=1><Tense=NearPast>	кэллим

ыыт<VERB><Number=Sing><Person=1><Tense=NearPast>	ыыттым

өлөр<VERB><Number=Sing><Person=1><Tense=NearPast>	өлөрдүм

сууй<VERB><Number=Sing><Person=1><Tense=NearPast>	сууннум

олор<VERB><Number=Sing><Person=1><Tense=PastPerf>	олорбутум

түс<VERB><Number=Sing><Person=1><Tense=PastPerf>	түспүтүм

көт<VERB><Number=Sing><Person=1><Tense=PastPerf>	көппүтүм

көр<VERB><Number=Sing><Person=1><Tense=PastPerf>	көрбүтүм

бил<VERB><Number=Sing><Person=1><Tense=PastPerf>	билбитим

аах<VERB><Number=Sing><Person=1><Tense=Pres>	ааҕабын

үөрэн<VERB><Number=Sing><Person=1><Tense=Pres>	үөрэнэбин

бил<VERB><Number=Sing><Person=2><Polarity=Neg><Tense=Pres>	билбэккин

буол<VERB><Number=Sing><Person=2><Tense=Fut>	буолуоҥ

манаа<VERB><Number=Sing><Person=2><Tense=Fut>	маныаҕыҥ

суулун<VERB><Number=Sing><Person=2><Tense=PastPerf>	сууллубутуҥ

кэт<VERB><Number=Sing><Person=2><Tense=Pres>	кэтэҕин

ыа<VERB><Number=Sing><Person=2><Tense=Pres>	ыыгын

көр<VERB><Number=Sing><Person=2><Tense=Pres>	көрөҕүн

үөрэн<VERB><Number=Sing><Person=2><Tense=Pres>	үөрэнэҕин

таптаа<VERB><Number=Sing><Person=2><Tense=Pres>	таптыыгын

гын<VERB><Number=Sing><Person=2><Tense=Pres>	гынаҕын

буол<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=PastResultI>	буолбатах

ыарый<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	ыалдьыбат

саҥар<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	саҥарбат

үөрэн<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	үөрэммэт

көр<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	көрбөт

кэт<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	кэппэт

киир<VERB><Number=Sing><Person=3><Polarity=Neg><Tense=Pres>	киирбэт

ыл<VERB><Number=Sing><Person=3><Tense=Fut>	ылыаҕа

быс<VERB><Number=Sing><Person=3><Tense=NearPast>	быста

кэл<VERB><Number=Sing><Person=3><Tense=NearPast>	кэллэ

бар<VERB><Number=Sing><Person=3><Tense=NearPast>	барда

көрдөс<VERB><Number=Sing><Person=3><Tense=NearPast>	көрдөстө

сөтүөлээ<VERB><Number=Sing><Person=3><Tense=NearPast>	сөтүөлээтэ

кут<VERB><Number=Sing><Person=3><Tense=NearPast>	кутта

эт<VERB><Number=Sing><Person=3><Tense=NearPast>	эттэ

отун<VERB><Number=Sing><Person=3><Tense=NearPast>	отунна

аҕал<VERB><Number=Sing><Person=3><Tense=NearPast>	аҕалла

тот<VERB><Number=Sing><Person=3><Tense=NearPast>	тотто

атыылас<VERB><Number=Sing><Person=3><Tense=NearPast>	атыыласта

киир<VERB><Number=Sing><Person=3><Tense=NearPast>	киирдэ

ыыт<VERB><Number=Sing><Person=3><Tense=NearPast>	ыытта

аһаа<VERB><Number=Sing><Person=3><Tense=NearPast>	аһаата

ыл<VERB><Number=Sing><Person=3><Tense=NearPast>	ылла

туһалаа<VERB><Number=Sing><Person=3><Tense=PastPerf>	туһалаабыта

киир<VERB><Number=Sing><Person=3><Tense=PastPerf>	киирбитэ

түс<VERB><Number=Sing><Person=3><Tense=PastPerf>	түспүтэ

ыйыһын<VERB><Number=Sing><Person=3><Tense=PastResultI>	ыйыстыбыт

гын<VERB><Number=Sing><Person=3><Tense=Pres>	гынар

киир<VERB><Number=Sing><Person=3><Tense=Pres>	киирэр

ыл<VERB><Number=Sing><Person=3><Tense=Pres>	ылар

суруй<VERB><Number=Sing><Person=3><Tense=Pres>	суруйар

оргуй<VERB><Number=Sing><Person=3><Tense=Pres>	оргуйар

туруор<VERB><Number=Sing><Person=3><Tense=Pres>	туруорар

аһыы<VERB><Number=Sing><Person=3><Tense=Pres>	аһыыр

көр<VERB><Number=Sing><Person=3><Tense=Pres>	көрөр

ис<VERB><Number=Sing><Person=3><Tense=Pres>	иһэр

ыҥыр<VERB><Number=Sing><Person=3><Tense=Pres>	ыҥырар

аах<VERB><Number=Sing><Person=3><Tense=Pres>	ааҕар

уст<VERB><Number=Sing><Person=3><Tense=Pres>	устар

сиэ<VERB><Number=Sing><Person=3><Tense=Pres>	сиир

үөскээ<VERB><Number=Sing><Person=3><Tense=Pres>	үөскүүр

бар<VERB><Number=Sing><Person=3><Tense=Pres>	барар

оҕус<VERB><Number=Sing><Person=3><Tense=Pres>	охсор

сыт<VERB><Number=Sing><Person=3><Tense=Pres>	сытар

үлэлээ<VERB><Number=Sing><Person=3><Tense=Pres>	үлэлиир

үөрэт<VERB><Number=Sing><Person=3><Tense=Pres>	үөрэтэр

кэл<VERB><Number=Sing><Person=3><Tense=Pres>	кэлэр

кэпсээ<VERB><Number=Sing><Person=3><Tense=Pres>	кэпсиир

утуй<VERB><Number=Sing><Person=3><Tense=Pres>	утуйар

аһаа<VERB><Number=Sing><Person=3><Tense=Pres>	аһыыр

тур<VERB><Number=Sing><Person=3><Tense=Pres>	турар

буол<VERB><Number=Sing><Person=3><Tense=Pres>	буолар

түс<VERB><Number=Sing><Person=3><Tense=Pres>	түһэр

иһит<VERB><Number=Sing><Person=3><Tense=Pres>	истэр

өлөр<VERB><Number=Sing><Person=3><Tense=Pres>	өлөрөр

сууй<VERB><Number=Sing><Person=3><Tense=Pres>	суунар

атыылаа<VERB><Number=Sing><Person=3><Tense=Pres>	атыылыыр

үөрэн<VERB><Number=Sing><Person=3><Tense=Pres>	үөрэнэр

таҕыс<VERB><Number=Sing><Person=3><Tense=Pres>	тахсар

олор<VERB><Number=Sing><Person=3><Tense=Pres>	олорор

таптаа<VERB><Number=Sing><Person=3><Tense=Pres>	таптыыр

үүн<VERB><Number=Sing><Person=3><Tense=Pres>	үүнэр

тоҥ<VERB><Number=Sing><Person=3><Tense=Pres>	тоҥор

кэт<VERB><Number=Sing><Person=3><Tense=Pres>	кэтэр

ыа<VERB><Number=Sing><Person=3><Tense=Pres>	ыыр

үр<VERB><Number=Sing><Person=3><Tense=Pres>	үрэр

ыарый<VERB><Number=Sing><Person=3><Tense=Pres>	ыалдьар

ас<VERB><Number=Sing><Person=3><Tense=Pres>	аһар

сырыт<VERB><Number=Sing><Person=3><Tense=Pres>	сылдьар

аас<VERB><Number=Sing><Person=3><Tense=Pres>	ааһар

үүн<VERB><Tense=Pres><VerbForm=Trans>	үүнэ

күл<VERB><Tense=Pres><VerbForm=Trans>	күлэ

