бу<DET>	бу
илии<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Acc>	илиибин

сир<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	сирин

кыс<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Acc>	кыһын

паарта<NOUN><Number=Sing><Case=Cmp>	паарталааҕар

эһэ<NOUN><Number=Sing><Case=Cmp>	эһэтээҕэр

олоппос<NOUN><Number=Plur><Case=Dat>	олоппосторго

дойду<NOUN><Number=Plur><Case=Dat>	дойдуларга

мүнүүтэ<NOUN><Number=Sing><Case=Dat>	мүнүүтэҕэ

илии<NOUN><Number=Sing><Case=Dat>	илиигэ

кылаас<NOUN><Number=Sing><Case=Dat>	кылааска

иһит<NOUN><Number=Sing><Case=Dat>	иһиккэ

хос<NOUN><Number=Sing><Case=Dat>	хоско

оҕонньор<NOUN><Number=Sing><Case=Dat>	оҕонньорго

чаас<NOUN><Number=Sing><Case=Dat>	чааска

тэлиэгэ<NOUN><Number=Sing><Case=Dat>	тэлиэгэҕэ

ыскаап<NOUN><Number=Sing><Case=Dat>	ыскаапка

уол<NOUN><Number=Sing><Case=Dat>	уолга

уҥуох<NOUN><Number=Sing><Case=Dat>	уҥуоҕа

сир<NOUN><Number=Sing><Case=Dat>	сиргэ

олоппос<NOUN><Number=Sing><Case=Dat>	олоппоско

уу<NOUN><Number=Sing><Case=Dat>	ууга

сыл<NOUN><Number=Sing><Case=Dat>	сылга

хайа<NOUN><Number=Sing><Case=Dat>	хайаҕа

атах<NOUN><Number=Sing><Case=Dat>	атахха

ыҥыыр<NOUN><Number=Sing><Case=Dat>	ыҥыырга

хонуу<NOUN><Number=Sing><Case=Dat>	хонууга

ынах<NOUN><Number=Sing><Case=Dat>	ынахха

оҕо<NOUN><Number=Sing><Case=Dat>	оҕоҕо

дойду<NOUN><Number=Sing><Case=Dat>	дойдуга

оскуола<NOUN><Number=Sing><Case=Dat>	оскуолаҕа

огурсу<NOUN><Number=Sing><Case=Dat>	огурсуга

карточка<NOUN><Number=Sing><Case=Dat>	карточкаҕа

муннук<NOUN><Number=Sing><Case=Dat>	муннукка

куукуна<NOUN><Number=Sing><Case=Dat>	куукунаҕа

чэй<NOUN><Number=Sing><Case=Dat>	чэйгэ

биэдэрэ<NOUN><Number=Sing><Case=Dat>	биэдэрэҕэ

дьиэ<NOUN><Number=Sing><Case=Dat>	дьиэҕэ

хотон<NOUN><Number=Sing><Case=Dat>	хотоҥҥо

үөрэх<NOUN><Number=Sing><Case=Dat>	үөрэххэ

сылабаар<NOUN><Number=Sing><Case=Dat>	сылабаарга

үрэх<NOUN><Number=Sing><Case=Dat>	үрэххэ

оройуон<NOUN><Number=Sing><Case=Dat>	оройуоҥҥа

остуол<NOUN><Number=Sing><Case=Dat>	остуолга

көхө<NOUN><Number=Sing><Case=Dat>	көхөҕө

дьааһык<NOUN><Number=Sing><Case=Dat>	дьааһыкка

тарбах<NOUN><Number=Sing><Case=Dat>	тарбаҕа

эбиэт<NOUN><Number=Sing><Case=Dat>	эбиэккэ

мастерской<NOUN><Number=Sing><Case=Dat>	мастерскойга

долбуур<NOUN><Number=Sing><Case=Dat>	долбуурга

массыына<NOUN><Number=Sing><Case=Dat>	массыынаҕа

ойуур<NOUN><Number=Sing><Case=Dat>	ойуурга

быраас<NOUN><Number=Sing><Case=Dat>	бырааска

паарта<NOUN><Number=Sing><Case=Dat>	паартаҕа

куорат<NOUN><Number=Sing><Case=Dat>	куоракка

аҕал<NOUN><Number=Sing><Nomzr=Action><Case=Dat>	аҕалыахха

аҕа<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Dat>	аҕатыгар

хайыһар<NOUN><Number=Sing><Case=Ins>	хайыһарынан

уочарат<NOUN><Number=Sing><Case=Ins>	уочаратынан

хаан<NOUN><Number=Sing><Case=Ins>	хаанынан

хотуур<NOUN><Number=Sing><Case=Ins>	хотуурунан

ат<NOUN><Number=Sing><Case=Ins>	атынан

сап<NOUN><Number=Sing><Case=Ins>	сабынан

түү<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Ins>	түүтүнэн

сыттык<NOUN><Number=Plur><Case=Nom>	сыттыктар

тэллэх<NOUN><Number=Plur><Case=Nom>	тэллэхтэр

матараас<NOUN><Number=Plur><Case=Nom>	матараастар

оҕо<NOUN><Number=Plur><Case=Nom>	оҕолор

остуол<NOUN><Number=Plur><Case=Nom>	остуоллар

уол<NOUN><Number=Plur><Case=Nom>	уолаттар

нуучча<NOUN><Number=Plur><Case=Nom>	нууччалар

дьахтар<NOUN><Number=Plur><Case=Nom>	дьахталлар

дьон<NOUN><Number=Plur><Case=Nom>	дьоннор

доҕор<NOUN><Number=Plur><Number[psor]=Sing><Person[psor]=3><Case=Nom>	доҕотторо

таба<NOUN><Number=Sing><Case=Nom>	таба

уус<NOUN><Number=Sing><Case=Nom>	уус

хойчоонно<NOUN><Number=Sing><Case=Nom>	хойчоонно

сылабаар<NOUN><Number=Sing><Case=Nom>	сылабаар

атах<NOUN><Number=Sing><Case=Nom>	атах

хаһыат<NOUN><Number=Sing><Case=Nom>	хаһыат

тэтэрээт<NOUN><Number=Sing><Case=Nom>	тэтэрээт

быраас<NOUN><Number=Sing><Case=Nom>	быраас

тыл<NOUN><Number=Sing><Case=Nom>	тыл

эр<NOUN><Number=Sing><Case=Nom>	эр

сир<NOUN><Number=Sing><Case=Nom>	сир

уруок<NOUN><Number=Sing><Case=Nom>	уруок

оҥочо<NOUN><Number=Sing><Case=Nom>	оҥочо

ыскаап<NOUN><Number=Sing><Case=Nom>	ыскаап

тараах<NOUN><Number=Sing><Case=Nom>	тараах

олоппос<NOUN><Number=Sing><Case=Nom>	олоппос

сэлээппэ<NOUN><Number=Sing><Case=Nom>	сэлээппэ

дьон<NOUN><Number=Sing><Case=Nom>	дьон

дьааһык<NOUN><Number=Sing><Case=Nom>	дьааһык

күн<NOUN><Number=Sing><Case=Nom>	күн

былахы<NOUN><Number=Sing><Case=Nom>	былахы

собо<NOUN><Number=Sing><Case=Nom>	собо

кымыс<NOUN><Number=Sing><Case=Nom>	кымыс

ас<NOUN><Number=Sing><Case=Nom>	ас

кыыс<NOUN><Number=Sing><Case=Nom>	кыыс

профессор<NOUN><Number=Sing><Case=Nom>	профессор

бостуук<NOUN><Number=Sing><Case=Nom>	бостуук

күөгүрээпийэ<NOUN><Number=Sing><Case=Nom>	күөгүрээпийэ

уол<NOUN><Number=Sing><Case=Nom>	уол

тэллэй<NOUN><Number=Sing><Case=Nom>	тэллэй

чох<NOUN><Number=Sing><Case=Nom>	чох

балык<NOUN><Number=Sing><Case=Nom>	балык

быт<NOUN><Number=Sing><Case=Nom>	быт

ат<NOUN><Number=Sing><Case=Nom>	ат

чаһы<NOUN><Number=Sing><Case=Nom>	чаһы

суол<NOUN><Number=Sing><Case=Nom>	суол

тиис<NOUN><Number=Sing><Case=Nom>	тиис

моҕой<NOUN><Number=Sing><Case=Nom>	моҕой

дуоска<NOUN><Number=Sing><Case=Nom>	дуоска

саа<NOUN><Number=Sing><Case=Nom>	саа

хаар<NOUN><Number=Sing><Case=Nom>	хаар

кулахы<NOUN><Number=Sing><Case=Nom>	кулахы

кыыл<NOUN><Number=Sing><Case=Nom>	кыыл

оҕо<NOUN><Number=Sing><Case=Nom>	оҕо

илии<NOUN><Number=Sing><Case=Nom>	илии

ыскамыайка<NOUN><Number=Sing><Case=Nom>	ыскамыайка

чаанньык<NOUN><Number=Sing><Case=Nom>	чаанньык

сис<NOUN><Number=Sing><Case=Nom>	сис

арыы<NOUN><Number=Sing><Case=Nom>	арыы

остуол<NOUN><Number=Sing><Case=Nom>	остуол

түннүк<NOUN><Number=Sing><Case=Nom>	түннүк

күнүс<NOUN><Number=Sing><Case=Nom>	күнүс

туруйа<NOUN><Number=Sing><Case=Nom>	туруйа

мүнүүтэ<NOUN><Number=Sing><Case=Nom>	мүнүүтэ

таһаҕас<NOUN><Number=Sing><Case=Nom>	таһаҕас

куоска<NOUN><Number=Sing><Case=Nom>	куоска

уу<NOUN><Number=Sing><Case=Nom>	уу

боробулуоха<NOUN><Number=Sing><Case=Nom>	боробулуоха

оҕуруот<NOUN><Number=Sing><Case=Nom>	оҕуруот

күөл<NOUN><Number=Sing><Case=Nom>	күөл

дьиэ<NOUN><Number=Sing><Case=Nom>	дьиэ

килиэп<NOUN><Number=Sing><Case=Nom>	килиэп

нуучча<NOUN><Number=Sing><Case=Nom>	нуучча

дьахтар<NOUN><Number=Sing><Case=Nom>	дьахтар

быа<NOUN><Number=Sing><Case=Nom>	быа

хос<NOUN><Number=Sing><Case=Nom>	хос

ый<NOUN><Number=Sing><Case=Nom>	ый

киһи<NOUN><Number=Sing><Case=Nom>	киһи

оҕонньор<NOUN><Number=Sing><Case=Nom>	оҕонньор

халлаан<NOUN><Number=Sing><Case=Nom>	халлаан

оскуола<NOUN><Number=Sing><Case=Nom>	оскуола

хоту<NOUN><Number=Sing><Case=Nom>	хоту

саас<NOUN><Number=Sing><Case=Nom>	саас

сыалыһар<NOUN><Number=Sing><Case=Nom>	сыалыһар

хахай<NOUN><Number=Sing><Case=Nom>	хахай

тиит<NOUN><Number=Sing><Case=Nom>	тиит

лааппы<NOUN><Number=Sing><Case=Nom>	лааппы

сыыр<NOUN><Number=Sing><Case=Nom>	сыыр

үрэх<NOUN><Number=Sing><Case=Nom>	үрэх

харах<NOUN><Number=Sing><Case=Nom>	харах

айах<NOUN><Number=Sing><Case=Nom>	айах

уһук<NOUN><Number=Sing><Case=Nom>	уһук

түүн<NOUN><Number=Sing><Case=Nom>	түүн

ыт<NOUN><Number=Sing><Case=Nom>	ыт

булчут<NOUN><Number=Sing><Case=Nom>	булчут

ынах<NOUN><Number=Sing><Case=Nom>	ынах

сүөһү<NOUN><Number=Sing><Case=Nom>	сүөһү

куурусса<NOUN><Number=Sing><Case=Nom>	куурусса

яблоко<NOUN><Number=Sing><Case=Nom>	яблоко

мас<NOUN><Number=Sing><Case=Nom>	мас

саахар<NOUN><Number=Sing><Case=Nom>	саахар

эт<NOUN><Number=Sing><Case=Nom>	эт

хомпуот<NOUN><Number=Sing><Case=Nom>	хомпуот

аан<NOUN><Number=Sing><Case=Nom>	аан

кинигэ<NOUN><Number=Sing><Case=Nom>	кинигэ

сөкүүндэ<NOUN><Number=Sing><Case=Nom>	сөкүүндэ

бэс<NOUN><Number=Sing><Case=Nom>	бэс

кыырт<NOUN><Number=Sing><Case=Nom>	кыырт

сыттык<NOUN><Number=Sing><Case=Nom>	сыттык

бэргэһэ<NOUN><Number=Sing><Case=Nom>	бэргэһэ

кии<NOUN><Number=Sing><Case=Nom>	кии

солуома<NOUN><Number=Sing><Case=Nom>	солуома

мохсоҕол<NOUN><Number=Sing><Case=Nom>	мохсоҕол

кус<NOUN><Number=Sing><Case=Nom>	кус

хотой<NOUN><Number=Sing><Case=Nom>	хотой

оһох<NOUN><Number=Sing><Case=Nom>	оһох

тарбах<NOUN><Number=Sing><Case=Nom>	тарбах

бурдук<NOUN><Number=Sing><Case=Nom>	бурдук

олоҥхо<NOUN><Number=Sing><Case=Nom>	олоҥхо

харандаас<NOUN><Number=Sing><Case=Nom>	харандаас

тыс<NOUN><Number=Sing><Case=Nom>	тыс

тоһоҕо<NOUN><Number=Sing><Case=Nom>	тоһоҕо

кэргэн<NOUN><Number=Sing><Case=Nom>	кэргэн

от<NOUN><Number=Sing><Case=Nom>	от

сибиинньэ<NOUN><Number=Sing><Case=Nom>	сибиинньэ

паарта<NOUN><Number=Sing><Case=Nom>	паарта

рецепт<NOUN><Number=Sing><Case=Nom>	рецепт

оттук<NOUN><Number=Sing><Case=Nom>	оттук

тэрил<NOUN><Number=Sing><Int=Yes><Case=Nom>	тэрилий

иһит<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=1><Case=Nom>	иһиппит

муҥха<NOUN><Number=Sing><Number[psor]=Plur><Person[psor]=2><Case=Nom>	муҥхаҕыт

дьон<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	дьонум

эдьиий<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	эдьиийим

атас<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	атаһым

илии<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	илиим

быраат<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	быраатым

балыс<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	балтым

кулгаах<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	кулгааҕым

эһэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	эһэм

аат<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	аатым

убай<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	убайым

бас<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	баһым

аҕас<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	аҕаһым

аҕа<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	аҕам

ийэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	ийэм

эбэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	эбэм

доҕор<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	доҕорум

буруй<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=1><Case=Nom>	буруйум

дьон<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	дьонуҥ

бас<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	баһыҥ

ийэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	ийэҥ

убай<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	убайыҥ

аҕа<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	аҕаҥ

илии<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	илииҥ

эһэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	эһэҥ

тиис<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=2><Case=Nom>	тииһиҥ

быар<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	быара

хамсааһын<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	хамсааһына

убай<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	убайа

көтөр<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	көтөрө

эбэ<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	эбэтэ

аат<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	аата

уус<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	ууһа

аҕа<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	аҕата

дьааһык<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	дьааһыга

доҕор<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	доҕоро

искэх<NOUN><Number=Sing><Number[psor]=Sing><Person[psor]=3><Case=Nom>	искэҕэ

паарта<NOUN><Number=Sing><Case=Par>	паартата

уу<NOUN><Number=Sing><Case=Par>	уута

дьиэ<NOUN><Number=Sing><Case=Par>	дьиэтэ

мутукча<NOUN><Number=Sing><Case=Par>	мутукчата

айымньы<NOUN><Number=Sing><Case=Par>	айымньыта

чиэрбэ<NOUN><Number=Sing><Case=Par>	чиэрбэтэ

күөрчэх<NOUN><Number=Sing><Case=Par>	күөрчэхтэ

эт<NOUN><Number=Sing><Case=Par>	эттэ

быа<NOUN><Number=Sing><Case=Par>	быата

сүөгэй<NOUN><Number=Sing><Case=Par>	сүөгэйдэ

мин<NOUN><Number=Sing><Case=Par>	миннэ

саламаат<NOUN><Number=Sing><Case=Par>	саламаатта

илии<NOUN><Number=Sing><Case=Par>	илиитэ

чэй<NOUN><Number=Sing><Case=Par>	чэйдэ

буулка<NOUN><Number=Sing><Case=Par>	буулката

харандаас<NOUN><Number=Sing><Case=Par>	харандааста

тимэх<NOUN><Number=Sing><Case=Par>	тимэхтэ

остуол<NOUN><Number=Sing><Case=Par>	остуолла

оҕо<NOUN><Number=Sing><Case=Par>	оҕото

килиэп<NOUN><Number=Sing><Case=Par>	килиэптэ

кинигэ<NOUN><Number=Sing><Case=Par>	кинигэтэ

үүнүү<NOUN><Number=Sing><Case=Par>	үүнүүтэ

икки<NUM><Case=Acc><NumType=Card>	иккини

икки<NUM><Case=Par><NumType=Card>	иккитэ

биэс<NUM><NumType=Card>	биэс

түөрт<NUM><NumType=Card>	түөрт

онус<NUM><NumType=Card>	онус

икки<NUM><NumType=Card>	икки

уон<NUM><NumType=Card>	уон

алта<NUM><NumType=Card>	алта

үс<NUM><NumType=Card>	үс

биир<NUM><NumType=Card>	биир

кини<PRON><Case=Acc><Number=Plur><Person=3><PronType=Prs>	кинилэри

мин<PRON><Case=Acc><Number=Sing><Person=1><PronType=Prs>	миигин

кини<PRON><Case=Acc><Number=Sing><Person=3><PronType=Prs>	кинини

биһиги<PRON><Case=Dat><Number=Plur><Person=1><PronType=Prs>	биһиэхэ

эһиги<PRON><Case=Dat><Number=Plur><Person=2><PronType=Prs>	эһиэхэ

мин<PRON><Case=Dat><Number=Sing><Person=1><PronType=Prs>	миэхэ

эн<PRON><Case=Dat><Number=Sing><Person=2><PronType=Prs>	эйиэхэ

кини<PRON><Case=Dat><Number=Sing><Person=3><PronType=Prs>	киниэхэ

туох<PRON><Case=Dat><PronType=Int>	туохха

ол<PRON><Case=Dat><PronType=Int>	онуоха

биһиги<PRON><Case=Nom><Number=Plur><Person=1><PronType=Prs>	биһиги

эһиги<PRON><Case=Nom><Number=Plur><Person=2><PronType=Prs>	эһиги

кини<PRON><Case=Nom><Number=Plur><Person=3><PronType=Prs>	кинилэр

бары<PRON><Case=Nom><Number=Plur><Person=3><PronType=Tot>	барытын

мин<PRON><Case=Nom><Number=Sing><Person=1><PronType=Prs>	мин

эн<PRON><Case=Nom><Number=Sing><Person=2><PronType=Prs>	эн

кини<PRON><Case=Nom><Number=Sing><Person=3><PronType=Prs>	кини

бары<PRON><Case=Nom><Number=Sing><Person=3><PronType=Tot>	бары

ким<PRON><Int=Yes><PronType=Int>	кимий

хайдах<PRON><Int=Yes><PronType=Int>	хайдаҕый

ол<PRON><PronType=Dem>	ол

ити<PRON><PronType=Dem>	ити

сорох<PRON><PronType=Ind>	сорох

сорох<PRON><PronType=Ind><Number=Plur>	сорохтор

ким<PRON><PronType=Int>	ким

тугу<PRON><PronType=Int>	тугу

тоҕо<PRON><PronType=Int>	тоҕо

хас<PRON><PronType=Int>	хас

ханна<PRON><PronType=Int>	ханна

ханнык<PRON><PronType=Int>	ханнык

туох<PRON><PronType=Int>	туох

коперник<PROPN>	коперник

мичил<PROPN>	мичил

маша<PROPN>	маша

саша<PROPN>	саша

миша<PROPN>	миша

сайаана<PROPN>	сайаана

кэскил<PROPN>	кэскил

айаана<PROPN>	айаана

сардана<PROPN>	сардана

сергей<PROPN><Case=Com>	сергейдиин

айхал<PROPN><Case=Dat>	айхалга

петров<PROPN><Case=Dat>	петровка

айтал<PROPN><Case=Dat>	айталга

дьокуускай<PROPN><Case=Dat>	дьокуускайга

москва<PROPN><Case=Dat>	москваҕа

кэскил<PROPN><Case=Dat>	кэскилга

кыра<ADJ>	кыра

бөҕө<ADJ>	бөҕө

үрдүкү<ADJ>	үрдүкү

кылгас<ADJ>	кылгас

үрдүк<ADJ>	үрдүк

маҥан<ADJ>	маҥан

саха<ADJ>	саха

кырдьаҕас<ADJ>	кырдьаҕас

алтан<ADJ>	алтан

үчүгэй<ADJ>	үчүгэй

саҥа<ADJ>	саҥа

соҕотох<ADJ>	соҕотох

сүрүн<ADJ>	сүрүн

куһаҕан<ADJ>	куһаҕан

хотугу<ADJ>	хотугу

атын<ADJ>	атын

күүстээх<ADJ>	күүстээх

уран<ADJ>	уран

халтархай<ADJ>	халтархай

хара<ADJ>	хара

улахан<ADJ>	улахан

үрүҥ<ADJ>	үрүҥ

тымныы<ADJ>	тымныы

суон<ADJ>	суон

элбэх<ADJ>	элбэх

киэһээҥи<ADJ>	киэһээҥи

начальнай<ADJ>	начальнай

ыраас<ADJ>	ыраас

ичигэс<ADJ>	ичигэс

синньигэс<ADJ>	синньигэс

эдэр<ADJ>	эдэр

уһун<ADJ>	уһун

дьэҥкир<ADJ>	дьэҥкир

эмис<ADJ>	эмис

ынырык<ADJ><Poss=Yes>	ынырыктаах

эрдии<ADJ><Poss=Yes>	эрдиилээх

ортотугар<ADP>	ортотугар

төһө<ADV>	төһө

өссө<ADV>	өссө

өр<ADV>	өр

киэһэ<ADV>	киэһэ

тилийэ<ADV>	тилийэ

кэриэтэ<ADV>	кэриэтэ

араас<ADV>	араас

оччоҕо<ADV>	оччоҕо

манна<ADV>	манна

кыһын<ADV>	кыһын

аны<ADV>	аны

арыт<ADV>	арыт

таһырдьа<ADV>	таһырдьа

мэлдьи<ADV>	мэлдьи

хат<ADV>	хат

хойут<ADV>	хойут

сайын<ADV>	сайын

кырдьык<ADV>	кырдьык

эрдэ<ADV>	эрдэ

онон<ADV>	онон

бэрт<ADV>	бэрт

туспа<ADV>	туспа

ыраах<ADV>	ыраах

наада<ADV>	наада

онно<ADV>	онно

быйыл<ADV>	быйыл

эмиэ<ADV>	эмиэ

бастаан<ADV>	бастаан

олус<ADV>	олус

бүгүн<ADV>	бүгүн

үчүгэй<ADV>	үчүгэй

онтон<ADV>	онтон

элбэхтэр<ADV>	элбэхтэр

бииргэ<ADV>	бииргэ

сарсын<ADV>	сарсын

бытаан<ADV><ADVLZ=Yes>	бытааннык

симик<ADV><ADVLZ=Yes>	симиктик

улахан<ADV><ADVLZ=Yes>	улаханнык

оттомноох<ADV><ADVLZ=Yes>	оттомноохтук

элбэх<ADV><ADVLZ=Yes>	элбэхтик

үчүгэй<ADV><ADVLZ=Yes>	үчүгэйдик

нуучча<ADV><ADVLZ=Yes>	нууччалыы

саха<ADV><ADVLZ=Yes>	сахалыы

түргэн<ADV><ADVLZ=Yes>	түргэнник

көрдөөх<ADV><ADVLZ=Yes>	көрдөөхтүк

баар<AUX>	баар

суох<AUX>	суох

баар<AUX><Int=Yes>	баарый

